AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Qasim Sarraf,35,M,A1
2,1,Nilima Tara,36,F,A2
3,2,Frederick Butala,32,M,A1
4,2,Samarth Hayre,50,M,A2
5,3,Ganga Bal,50,F,A1
6,3,Samar Amble,20,M,A2
7,4,Nandini Choudhary,63,F,A1
8,4,Farhan Hari,46,M,A2
9,4,Akshay Bhatnagar,21,M,A3
10,4,Ayaan Ramakrishnan,49,M,A4
11,5,Raghav Kibe,64,M,A1
12,5,Ekalinga Chaudhry,29,M,A2
13,6,Hritik Pal,62,M,A1
14,7,Atharv Mody,35,M,A1
15,7,Anmol Pau,35,M,A2
16,7,Chaitanya Dutt,33,M,A3
17,7,Nathan Rama,35,M,A4
18,8,Rehaan Mall,21,M,A1
19,8,Tanish Mutti,18,M,A2
20,8,Robert Saini,53,M,A3
21,8,Girish Nayak,45,T,A4
22,9,Daksh Chacko,44,M,A1
23,9,Ekiya Barad,36,F,A2
24,9,Aditya Cheema,19,M,A3
25,9,Om Vyas,50,M,A4
26,10,Qarin Sami,65,M,A1
27,10,Girik Rout,19,M,A2
28,11,Pratyush Nori,27,M,A1
29,11,Orinder Sharma,54,M,A2
30,11,Balveer Palla,48,M,A3
31,12,Jagat Guha,22,M,A1
32,12,Kai Wason,25,M,A2
33,12,Sathvik Bhatti,50,M,A3
34,13,Girish Anne,62,M,A1
35,13,Harsh Mammen,42,M,A2
36,13,Faris Tandon,58,M,A3
37,13,Ikbal De,41,M,A4
38,14,Aarav Bhattacharyya,47,M,A1
39,14,Imaran Kalla,52,M,A2
40,15,Abhimanyu Mand,41,M,A1
41,15,Arunima Kota,57,F,A2
42,16,Shivansh Padmanabhan,18,M,A1
43,16,Abhiram Cherian,52,M,A2
44,16,Ansh Nori,47,M,A3
45,17,Ojas Acharya,57,M,A1
46,17,Patrick Sengupta,65,M,A2
47,17,Anirudh Batra,41,M,A3
48,18,Ayaan Dhar,41,M,A1
49,18,Aarini Madan,25,F,A2
50,18,Gopal Rana,21,M,A3
51,19,Daksh Varty,41,M,A1
52,20,Shivansh Loke,40,M,A1
53,20,Ranveer Deol,46,M,A2
54,21,Sarthak Buch,40,M,A1
55,22,Gunbir Ramachandran,28,M,A1
56,22,Wazir Bhavsar,42,M,A2
57,22,Veer Nadkarni,25,M,A3
58,23,Samesh Mistry,29,M,A1
59,23,Rehaan Chaudhary,58,M,A2
60,23,Laban Zachariah,41,M,A3
61,23,Chaitanya Lanka,38,M,A4
62,24,Ekapad Kuruvilla,48,M,A1
63,24,Finn Saxena,17,M,A2
64,24,Andrew Pathak,24,M,A3
65,24,Warinder Nazareth,54,M,A4
66,25,Anmol Nagy,27,M,A1
67,25,Finn Lanka,30,M,A2
68,26,Banjeet Yadav,45,M,A1
69,26,Timothy Varty,52,M,A2
70,26,Advik Chaudhuri,29,M,A3
71,26,Daksh Iyer,56,M,A4
72,27,Azaan Sarma,24,M,A1
73,27,Banjeet Misra,39,M,A2
74,27,Advay Chaudhuri,21,M,A3
75,28,Lakshit Yogi,54,M,A1
76,29,Hitesh Ghosh,33,M,A1
77,29,Nimrat Badal,20,F,A2
78,29,Robert Goel,45,M,A3
79,29,Wazir Walia,45,M,A4
80,30,Guneet Parmar,32,M,A1
81,30,George Kale,50,M,A2
82,31,Finn Subramaniam,31,M,A1
83,31,Jackson Batta,35,M,A2
84,32,Jai Mohan,54,M,A1
85,32,Manbir Mukherjee,16,M,A2
86,32,Zashil Mander,17,M,A3
87,32,Gaurav Bhatnagar,29,M,A4
88,33,Naveen Minhas,55,M,A1
89,33,Shaurya Chaudry,65,M,A2
90,33,Victor Guha,50,M,A3
91,34,Warinder Aggarwal,61,M,A1
92,35,Zashil Mallick,47,M,A1
93,35,Udant Saini,50,M,A2
94,36,Viraj Bahl,26,M,A1
95,36,Daniel Chanda,39,M,A2
96,37,Hritik Panchal,59,M,A1
97,37,Finn Nagar,25,M,A2
98,38,Rushil Deol,33,M,A1
99,38,Ayush Bandi,43,M,A2
100,38,Agastya Pal,62,M,A3
101,38,Onveer Prakash,43,M,A4
102,39,Advik Bhakta,30,M,A1
103,40,Manthan Mahal,38,M,A1
104,41,Orinder Sandhu,50,M,A1
105,41,Jagat Barman,40,M,A2
106,42,Udarsh Dugar,46,M,A1
107,42,Quincy Saraf,25,M,A2
108,42,Girik Bains,65,M,A3
109,42,Dakshesh Seshadri,17,M,A4
110,43,Gaurav Kala,62,M,A1
111,43,Naveen Hari,32,M,A2
112,43,Akshay Dalal,41,M,A3
113,44,William Ramanathan,33,M,A1
114,44,Vedant Goyal,40,M,A2
115,45,Hritik Dua,54,M,A1
116,46,Gopal Dhaliwal,43,M,A1
117,46,Viraj Subramaniam,19,M,A2
118,46,Shivansh Swamy,47,M,A3
119,47,Krishna Prashad,54,M,A1
120,47,Nicholas Jayaraman,47,M,A2
121,47,Lakshit Dada,54,M,A3
122,48,Zayyan Mandal,51,M,A1
123,48,Shaurya Trivedi,24,M,A2
124,48,Yagnesh Sastry,33,M,A3
125,48,Wazir Mangal,42,M,A4
126,49,Orinder Wagle,51,M,A1
127,49,Theodore Prabhu,65,M,A2
128,49,Mason Peri,16,M,A3
129,49,Gaurav Malhotra,19,M,A4
130,50,Udarsh Khurana,54,M,A1
131,50,Reyansh Yohannan,41,M,A2
132,50,Pratyush Chand,61,M,A3
133,51,Oscar Dhawan,20,M,A1
134,51,Yatan Johal,38,M,A2
135,52,Chatura Chadha,23,M,A1
136,52,Wridesh Wali,60,M,A2
137,53,Jai Lad,65,M,A1
138,53,Laksh Mane,33,M,A2
139,53,Vedhika Sastry,42,T,A3
140,53,Tristan Reddy,19,M,A4
141,54,Udant Brahmbhatt,61,M,A1
142,54,Gopal Bhavsar,41,M,A2
143,54,Gaurav Tank,30,M,A3
144,55,Shaurya Bhakta,33,M,A1
145,55,Zayyan Vig,17,M,A2
146,55,Theodore Mandal,63,M,A3
147,55,Aayush Narayanan,43,M,A4
148,56,Omaja Singhal,40,F,A1
149,56,Tamanna Gill,49,F,A2
150,56,Bakhshi Ravel,48,M,A3
151,56,Karan Ray,54,M,A4
152,57,Chakradhar Wali,38,M,A1
153,58,Nathan Comar,50,M,A1
154,58,Jackson Chada,64,M,A2
155,58,Azad Memon,31,M,A3
156,58,Kamala Verma,56,F,A4
157,59,Zashil Sule,24,M,A1
158,59,Tanveer Upadhyay,18,M,A2
159,59,Nakul Chokshi,53,M,A3
160,60,Urmi Rout,58,F,A1
161,60,Charan Talwar,27,M,A2
162,60,Parth Khalsa,55,M,A3
163,60,Vincent Bansal,50,M,A4
164,61,Oliver Pingle,34,M,A1
165,61,George Ram,47,M,A2
166,62,Balvan Deol,55,M,A1
167,62,Reyansh Prasad,57,M,A2
168,62,Faraj Patel,16,M,A3
169,63,Upkaar Hayre,61,M,A1
170,63,Dakshesh Raghavan,64,M,A2
171,63,Ekaraj Ahluwalia,47,M,A3
172,63,Fariq Sheth,56,M,A4
173,64,Benjamin Kala,64,M,A1
174,64,Zashil Bedi,28,M,A2
175,64,Ekbal Butala,30,M,A3
176,65,Atharv Balay,49,M,A1
177,65,Timothy Murty,62,M,A2
178,65,Pranit Sekhon,44,M,A3
179,65,Jatin Mannan,27,M,A4
180,66,Falan Gole,50,M,A1
181,66,Bahadurjit Guha,39,M,A2
182,66,Bachittar Khosla,54,M,A3
183,67,Robert Lala,20,M,A1
184,67,Praneel Varghese,18,M,A2
185,67,Zaitra Magar,24,F,A3
186,68,Yuvraj Jhaveri,64,M,A1
187,68,Utkarsh Mutti,37,M,A2
188,68,Oliver Sane,57,M,A3
189,69,Warjas Chhabra,26,M,A1
