ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Chakradhar Bal,42,4,1,7,1
2,2,Aashi Dua,41,5,1,10,2
3,2,Chaaya Raja,18,8,1,6,2
4,3,Dhruv Setty,52,9,3,3,1
5,3,Girik Khatri,64,5,1,2,1
6,4,Manthan Hari,50,12,1,8,1
7,4,Saanvi Lad,37,4,7,3,2
8,5,Laksh Butala,27,9,1,6,1
9,5,Alka Chauhan,51,8,1,1,2
10,6,Veda Das,66,2,1,6,2
11,6,Ekavir Mandal,32,2,1,10,1
12,7,Hemangini Chander,57,4,1,9,2
13,8,Yachana Pathak,31,5,1,8,2
14,8,Rohan Chaudhuri,42,4,1,3,1
15,9,Alka Sachdev,50,5,4,10,2
16,9,Yagnesh Bose,24,11,1,6,1
17,10,Shaurya Prashad,64,8,1,9,1
18,10,Varenya Dyal,52,9,1,1,2
19,11,Manthan Anne,24,2,1,5,1
20,11,Amol Dalal,22,9,2,2,1
21,12,Prisha Sule,19,4,1,1,2
22,13,Fariq Vig,26,11,1,2,1
23,14,Divya Hans,51,7,1,5,2
24,14,Alka Vasa,69,9,1,9,2
25,15,Hritik Patla,66,1,2,1,1
26,16,Janani Balan,37,12,1,6,2
27,17,Ekantika Kannan,29,9,1,7,2
28,17,Edhitha Loyal,47,12,1,8,2
29,18,Wridesh Iyengar,54,2,1,9,1
30,19,Priya Menon,26,2,1,3,2
31,19,Yachana Sarin,33,7,1,10,2
32,20,Gopal Krishna,52,9,2,5,1
33,20,Ira Mand,52,8,1,10,2
34,21,Charan Muni,30,4,5,3,1
35,22,Harshil Sura,29,5,7,9,1
36,23,Udant Sampath,28,8,1,6,1
37,24,Nathaniel Chokshi,31,3,1,8,1
38,24,Upadhriti Iyengar,34,12,1,5,2
39,25,Ridhi Bhatt,21,6,1,5,2
40,26,Geetika Bandi,71,1,1,9,2
41,27,Tara Memon,62,5,1,4,2
42,28,Sneha Balan,41,1,1,7,2
43,28,Hemangini Naidu,54,3,1,3,2
44,29,Girik Parmar,41,2,1,5,1
45,29,Balhaar Kale,52,11,1,3,1
46,30,Quincy Dhillon,27,2,3,7,1
47,30,Divya Andra,23,4,1,10,2
48,31,Abdul Narasimhan,31,10,1,8,1
49,32,Vidhi Nagy,61,11,1,2,2
50,32,Bhavini Rajan,28,3,1,1,2
51,33,Jagvi Vyas,44,7,1,8,2
52,33,Dalaja Mall,43,5,1,3,2
53,34,Ucchal Saran,20,8,1,4,2
54,35,Odika Hora,57,3,2,4,2
55,35,Aryan Tak,53,10,1,6,1
56,36,Arin Maharaj,65,7,2,1,1
57,37,Darpan Dash,30,2,3,3,1
58,37,Frederick Narain,26,6,2,5,1
59,38,Jagat Bail,63,8,1,6,1
60,38,Aditya Agrawal,41,8,1,2,1
61,39,Lucky Deep,26,6,1,3,1
62,39,Anita Walla,60,1,5,6,2
63,40,Om Babu,37,10,4,8,1
64,41,Vrinda Chandran,75,1,1,7,2
65,41,Nidhi Maharaj,72,6,1,3,2
66,42,Oscar Ratta,27,3,2,9,1
67,42,Naksh Tak,32,12,1,1,1
68,43,Shravya Misra,59,12,2,5,2
69,44,Xiti Dara,47,10,1,9,2
70,45,Dalaja Balakrishnan,30,4,2,3,2
71,45,Arjun Anne,51,9,1,7,1
72,46,Charles Naidu,61,10,1,7,1
73,47,Upkaar Garde,28,9,4,7,3
74,48,Ikshita Pillay,64,11,3,6,2
75,48,Atharv Lad,62,11,1,9,1
76,49,Dayamai Bava,47,10,4,8,2
77,49,Baljiwan Lalla,34,9,1,9,1
78,50,Sachi Madan,53,12,2,6,2
79,51,Ekantika Sharma,24,1,2,10,2
80,52,Edhitha Nagar,43,7,1,1,2
81,53,Samuel Sekhon,60,1,1,3,1
82,54,Yutika Wable,26,8,1,7,2
83,54,William Suri,23,2,1,7,1
84,55,Naveen Subramanian,58,2,7,2,1
85,55,Chakradhar Lalla,50,5,1,6,1
86,56,Chakrika Pandit,59,4,3,4,2
87,56,Ishanvi Brahmbhatt,51,2,3,5,2
88,57,Yug Bhasin,36,8,1,10,1
89,58,Abeer Kalita,34,7,1,6,1
90,58,Sanya Guha,19,2,1,3,2
91,59,Damini Oak,24,8,1,1,2
92,59,Naksh Muni,61,2,5,2,1
93,60,Faraj Thaman,46,6,1,10,1
94,61,Dhruv Kanda,18,12,1,2,1
95,62,Reyansh Sethi,62,6,1,10,1
96,62,Sudiksha Guha,25,8,1,3,2
97,63,Liam Sampath,36,1,4,2,1
98,64,Nikita Chaudry,38,10,1,5,2
99,64,Vihaan Chhabra,47,10,2,3,1
100,65,Jai Babu,56,4,1,6,1
101,66,Idika Loke,45,2,1,9,2
102,66,Vyanjana Wali,70,9,1,8,2
103,67,Patrick Lanka,37,9,5,1,1
104,67,Chaman Pandya,28,8,1,4,2
105,68,Jagvi Dora,63,7,1,8,2
106,68,Zayan Sankar,65,11,2,6,1
107,69,Avni Sastry,29,4,1,8,2
108,70,Qasim Chaudhari,30,6,1,8,1
109,70,Sai Sami,61,1,1,3,2
110,71,Nandini Gulati,18,8,1,7,2
111,71,Hema Majumdar,57,4,1,9,2
112,72,Yochana Sant,64,9,2,8,2
113,73,Arya Kothari,63,11,1,7,2
114,74,Januja Contractor,23,5,1,6,2
115,74,Andrew Lata,68,4,1,4,1
116,75,Bachittar Wali,58,9,7,10,1
117,76,Manya Kara,70,3,1,3,2
118,77,Rohan Ramaswamy,24,6,2,7,1
119,77,Imaran Loyal,39,11,1,8,1
120,78,Harshil Garg,29,1,1,7,1
121,79,Prisha Mani,35,3,1,9,2
122,80,Aadhya Chandra,36,9,1,1,2
123,80,Zayan Sood,19,7,1,9,1
124,81,Kashvi Garde,26,5,1,3,2
125,81,Bhavya Ganesan,71,4,1,1,2
126,82,Osha Shah,29,8,1,9,2
127,83,Abeer Som,75,10,3,6,1
128,83,Oliver Bail,70,3,2,7,1
129,84,Kevin Bose,52,3,1,2,1
130,84,Aarna Pandey,46,8,1,2,2
131,85,Aadi Suresh,68,7,1,8,1
132,85,Warinder Choudhary,42,11,1,4,1
133,86,Abhiram Mannan,72,9,3,4,1
134,86,Zaitra Thakur,44,9,1,10,2
135,87,Falak Chandra,44,10,1,6,2
136,88,Max Nayak,53,4,1,4,1
137,88,Yatan Panchal,41,7,1,2,1
138,89,Widisha Kulkarni,43,9,1,8,2
139,89,Vasudha Arya,51,3,1,9,2
140,90,Matthew Nath,59,9,2,4,1
141,90,Isaiah Madan,24,9,3,4,3
142,91,Falak Roy,26,2,1,8,2
143,92,Ekta Parikh,27,1,1,4,2
144,93,Amruta Konda,72,12,1,3,2
145,93,Pranit Jhaveri,48,10,1,4,1
146,94,Indali Purohit,72,1,1,3,2
147,95,Mahika Sengupta,51,2,1,2,2
148,96,Kevin Palla,29,9,1,6,1
149,97,Shivani Sahni,21,2,1,10,2
150,97,Dayamai Halder,44,8,1,7,3
151,98,Onveer Das,45,11,1,1,1
