VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Gauri Rajan,44,F,false
2,1,Oscar Buch,68,M,false
3,1,Bakhshi Gokhale,39,M,false
4,2,Wahab Sengupta,80,M,false
5,2,Teerth Shenoy,80,M,false
6,3,Harinakshi Kuruvilla,46,F,false
7,3,Ikshita Mohan,33,F,false
8,3,Onveer Modi,48,M,false
9,4,Yug Gala,4,M,false
10,4,Pratyush Soni,82,M,false
11,4,Pahal Ravi,73,F,false
12,5,Isaac Vasa,83,M,false
13,5,Farhan Batta,10,M,false
14,5,Lopa Walla,36,F,false
15,6,Neelima Dass,40,F,false
16,7,Vrishti Sahota,46,F,false
17,8,Alexander Bedi,10,M,false
18,9,Aarna Bhatti,2,F,true
19,10,Raagini Subramanian,60,F,false
20,11,Waida Sagar,38,F,false
21,11,Maanas Ganesh,68,M,false
22,11,Rayaan Devi,19,M,false
23,12,Qadim Lal,82,M,false
24,13,Amol Kant,41,M,false
25,14,Kala Bera,80,F,false
26,14,Krish Bhargava,79,M,false
27,14,Osha Divan,13,F,false
28,15,Jai Chopra,53,M,false
29,16,Victor Gour,52,M,false
30,16,Rudra Mukhopadhyay,78,M,true
31,16,Kai Swamy,18,M,false
32,17,Ucchal Arya,72,F,false
33,17,Bhavini Vig,31,F,false
34,18,Dev Kapoor,69,M,false
35,18,Omya Wable,59,F,false
36,19,Vanya Mohan,5,F,false
37,19,Gaurangi Yohannan,36,F,false
38,19,Ojasvi Sahni,58,F,false
39,20,Wridesh Sood,69,M,false
40,20,Qushi Krish,67,F,false
41,21,Hamsini Ganesan,24,F,false
42,21,Finn Mitra,15,M,false
43,21,Warinder Rau,76,T,false
44,22,Aashi Basak,57,F,false
45,22,Eshana Babu,40,F,false
46,23,Baghyawati Sankaran,12,F,false
47,23,Vasana Ray,78,F,false
48,23,Nachiket Mitra,83,M,false
49,24,Upkaar Thakur,27,M,false
50,25,Jeet Nair,69,M,false
51,25,Leena Ben,16,F,false
52,25,Hema Kothari,2,F,false
53,26,Suhani Tailor,57,F,false
54,27,Azaan Sant,33,M,false
55,27,Rajata Loyal,22,F,false
56,28,Guneet Mohan,78,M,false
57,29,Ryan Bahl,49,M,false
58,30,Odika Kala,11,F,false
59,30,Oscar Ghosh,52,M,false
60,30,Indrajit Natt,41,M,false
61,31,Hardik Kothari,26,M,true
62,31,Janya Koshy,48,F,false
63,32,Warda Kaul,14,F,false
64,32,Onkar Kothari,68,M,false
65,33,Arya Golla,80,F,false
66,33,Udyati Mukherjee,17,F,false
67,34,Hemal Dua,36,F,true
68,34,Wazir Kulkarni,20,M,false
69,35,Ridhi Halder,35,F,false
